k1,k2,teicher2015,tuominen2022,joint
35,31,0.734727,0.681694,0.713316
35,32,0.288313,0.282214,0.283042
35,33,0.270018,0.315618,0.292744
35,34,0.330628,0.373631,0.352082
36,0,0.354043,0.113789,0.262535
36,1,0.33983,0.232743,0.307124
36,2,0.232453,0.211181,0.22735
36,3,0.204429,0.302926,0.254419
36,4,0.0733686,0.32459,0.205771
36,5,0.185388,0.234241,0.20943
36,6,0.140852,0.191422,0.173738
36,7,-0.0825252,0.149335,0.01391
36,8,0.0853884,0.148305,0.114684
36,9,0.0146218,0.171299,0.0804699
36,10,0.115803,0.113391,0.126347
36,11,0.320244,0.414946,0.378216
36,12,0.119593,0.428855,0.307442
36,13,0.0987244,0.432799,0.304034
36,14,0.298769,0.118172,0.210729
36,15,-0.085861,0.121179,0.0181885
36,16,0.232034,-0.00899088,0.117901
36,17,0.241827,0.0636051,0.166719
36,18,0.477244,0.55175,0.493173
36,19,0.60361,0.595725,0.599549
36,20,0.165932,0.180458,0.183824
36,21,0.104698,0.357023,0.251669
36,22,-0.0493862,0.302723,0.142209
36,23,0.205475,0.269362,0.235852
36,24,0.0926068,0.485561,0.284773
36,25,0.292165,0.235681,0.269714
36,26,0.358792,0.298839,0.340282
36,27,0.392394,0.311068,0.35592
36,28,0.226373,0.125951,0.184922
36,29,0.377679,0.289626,0.340534
36,30,0.176393,0.228501,0.207731
36,31,0.690395,0.63542,0.669373
36,32,0.301298,0.179005,0.247027
36,33,0.235872,0.169239,0.210617
36,34,0.241099,0.361937,0.301739
36,35,0.979831,0.967131,0.974854
37,0,0.51728,0.461346,0.502554
37,1,0.547177,0.545905,0.552414
37,2,0.504781,0.564968,0.531069
37,3,0.515595,0.485121,0.507336
37,4,0.332671,0.556401,0.426302
37,5,0.351657,0.447197,0.391908
37,6,0.448988,0.480547,0.468592
37,7,0.3923,0.391286,0.383595
37,8,0.311685,0.196189,0.268498
37,9,0.195672,0.244009,0.210738
37,10,0.262156,0.256755,0.269766
37,11,0.474422,0.521603,0.504299
37,12,0.407505,0.376567,0.400194
37,13,0.367829,0.316335,0.35008
37,14,0.297671,0.482257,0.348644
37,15,0.37414,0.124721,0.277118
37,16,0.307457,0.507288,0.414811
37,17,0.286455,0.369527,0.320115
37,18,0.389734,0.304891,0.352403
37,19,0.307037,0.338547,0.321613
37,20,0.326087,0.328131,0.336281
37,21,0.237121,0.376821,0.310918
37,22,0.193191,0.228689,0.211251
37,23,0.435959,0.430667,0.43413
37,24,0.389532,0.463706,0.412857
37,25,0.267817,0.349209,0.300943
37,26,0.237946,0.388249,0.298302
37,27,0.216584,0.238799,0.225117
37,28,0.170937,0.138492,0.160195
37,29,0.313537,0.292577,0.305128
37,30,0.262322,0.417368,0.336352
37,31,0.371361,0.301214,0.349411
37,32,0.221957,0.308936,0.251278
37,33,0.132895,0.290927,0.205252
37,34,0.238149,0.359897,0.294276
37,35,0.46962,0.24988,0.383481
37,36,0.431752,0.281996,0.373467
38,0,0.456997,0.339874,0.421453
38,1,0.477348,0.41244,0.463289
38,2,0.49137,0.457945,0.481857
38,3,0.438055,0.324845,0.398899
38,4,0.336107,0.34567,0.342827
38,5,0.349333,0.27637,0.324813
38,6,0.302159,0.340553,0.32698
38,7,0.371294,0.275047,0.334424
38,8,0.307559,0.113036,0.236395
38,9,0.195492,0.103938,0.159336
38,10,0.266884,0.164822,0.23719
38,11,0.275279,0.382329,0.338885
38,12,0.327678,0.356507,0.350383
38,13,0.323154,0.399719,0.365594
38,14,0.350059,0.280212,0.300973
38,15,0.2115,-0.00264896,0.126478
38,16,0.41834,0.246059,0.340749
38,17,0.560501,0.256344,0.426626
38,18,0.284509,0.301216,0.278391
38,19,0.244504,0.34567,0.286212
38,20,0.40476,0.354444,0.392378
