k1,k2,mu,lb,ub,pval
35,23,0.017054,-0.038147,0.074704,0.63125
35,24,0.004719,-0.049057,0.066766,0.53425
35,25,0.032645,-0.009899,0.076969,0.806
35,26,0.011566,-0.028658,0.057065,0.62825
35,27,0.057618,0.01487,0.100592,0.93375
35,28,-0.029789,-0.076538,0.014765,0.2355
35,29,0.057453,0.005484,0.10937,0.90275
35,30,0.061234,0.006134,0.112178,0.899
35,31,0.206365,0.134818,0.27515,1.0
35,32,-0.017037,-0.067775,0.036759,0.3495
35,33,-0.014376,-0.076413,0.043763,0.37375
35,34,0.026584,-0.034557,0.0823,0.71025
36,0,0.013695,-0.042882,0.071184,0.62275
36,1,-0.004367,-0.056055,0.049271,0.46475
36,2,-0.029383,-0.081921,0.023001,0.26175
36,3,-0.008759,-0.067374,0.04022,0.42
36,4,-0.042005,-0.098334,0.011276,0.19175
36,5,-0.03355,-0.083995,0.017474,0.21825
36,6,-0.035849,-0.088378,0.017184,0.21675
36,7,-0.043531,-0.090403,0.006099,0.186
36,8,-0.008774,-0.064647,0.047644,0.4165
36,9,-0.018616,-0.071108,0.031406,0.3345
36,10,-0.005995,-0.058594,0.045786,0.44625
36,11,-0.004695,-0.080472,0.063913,0.48475
36,12,-0.032536,-0.098656,0.031336,0.27825
36,13,-0.01282,-0.079627,0.051348,0.42325
36,14,0.048261,-0.02012,0.105594,0.83
36,15,-0.048333,-0.115341,0.013042,0.20675
36,16,-0.005832,-0.075028,0.061174,0.4695
36,17,-0.007204,-0.080924,0.05865,0.457
36,18,-0.049226,-0.132299,0.030898,0.214
36,19,-0.063573,-0.160569,0.032125,0.20025
36,20,0.015866,-0.046467,0.075679,0.62675
36,21,-0.015551,-0.080188,0.040896,0.3895
36,22,-0.04248,-0.097733,0.015724,0.19825
36,23,-0.009038,-0.068789,0.04597,0.42525
36,24,-0.011873,-0.064013,0.051331,0.412
36,25,-0.025094,-0.068692,0.021856,0.26375
36,26,0.015656,-0.028831,0.062649,0.64875
36,27,0.025035,-0.020325,0.068162,0.73475
36,28,0.03005,-0.016455,0.078072,0.76475
