	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
tau_pr[59]	21.0	0.28	21.0	1.3	15.0	64.0	5771.0	7.9	1.0
tau_pr[60]	21.0	0.29	22.0	1.0	15.0	62.0	5418.0	7.4	1.0
tau_pr[61]	21.0	0.28	22.0	0.91	14.0	64.0	6168.0	8.4	1.0
tau_pr[62]	21.0	0.3	22.0	1.0	14.0	64.0	5603.0	7.7	1.0
tau_pr[63]	21.0	0.29	23.0	0.88	15.0	67.0	6073.0	8.3	1.0
tau_pr[64]	21.0	0.28	22.0	1.1	14.0	64.0	5865.0	8.0	1.0
tau_pr[65]	21.0	0.29	22.0	1.0	14.0	66.0	5913.0	8.1	1.0
tau_pr[66]	21.0	0.28	22.0	1.1	14.0	63.0	6049.0	8.3	1.0
tau_pr[67]	21.0	0.26	21.0	1.0	15.0	63.0	6518.0	8.9	1.0
tau_pr[68]	21.0	0.28	22.0	1.1	14.0	64.0	6052.0	8.3	1.0
tau_pr[69]	22.0	0.28	22.0	1.0	15.0	63.0	6271.0	8.6	1.0
tau_pr[70]	21.0	0.32	23.0	0.91	14.0	66.0	5155.0	7.1	1.0
