	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[53,1]	1.3	0.003	0.29	0.79	1.2	1.7	8970.0	7.7	1.0
theta[54,1]	-1.9	0.0078	0.62	-3.0	-1.9	-0.97	6290.0	5.4	1.0
theta[55,1]	-1.4	0.006	0.5	-2.3	-1.4	-0.61	6906.0	5.9	1.0
theta[56,1]	-1.2	0.0062	0.49	-2.1	-1.2	-0.51	6278.0	5.4	1.0
theta[57,1]	-0.57	0.0038	0.35	-1.2	-0.55	-0.038	8423.0	7.2	1.0
theta[58,1]	-0.56	0.0041	0.35	-1.2	-0.54	-0.022	7518.0	6.5	1.0
theta[59,1]	0.41	0.0027	0.26	-0.015	0.4	0.82	9175.0	7.9	1.0
theta[60,1]	-0.29	0.0035	0.3	-0.81	-0.28	0.2	7463.0	6.4	1.0
theta[61,1]	-0.84	0.0049	0.42	-1.6	-0.82	-0.19	7349.0	6.3	1.0
theta[62,1]	-0.39	0.0037	0.33	-0.96	-0.37	0.13	8170.0	7.0	1.0
theta[63,1]	-1.9	0.0068	0.61	-3.0	-1.9	-0.97	8048.0	6.9	1.0
theta[64,1]	-0.45	0.0038	0.34	-1.0	-0.44	0.061	8048.0	6.9	1.0
theta[65,1]	-0.72	0.0043	0.38	-1.4	-0.7	-0.13	7858.0	6.8	1.0
theta[66,1]	-0.86	0.0047	0.41	-1.6	-0.83	-0.22	7721.0	6.6	1.0
