subject,item,item_id,subscale,response,n_years
0iu4qs5k9054br05oho875qo,43,P_special,EN,0.0,0.0
0iu4qs5k9054br05oho875qo,44,P_protect,PN,0.0,0.0
0iu4qs5k9054br05oho875qo,45,P_ER,PN,0.0,0.0
0iu4qs5k9054br05oho875qo,46,No_food,PN,0.0,0.0
0iu4qs5k9054br05oho875qo,47,Dirty_clothes,PN,0.0,0.0
0iu4qs5k9054br05oho875qo,48,Adult_resposibility,NVEA,0.0,0.0
0iu4qs5k9054br05oho875qo,49,Financial_pressure,NVEA,1.0,4.0
0iu4qs5k9054br05oho875qo,50,Kept_secrets,NVEA,0.0,0.0
0iu4qs5k9054br05oho875qo,51,Looked_out_each_other,PN,0.0,0.0
0iu4qs5k9054br05oho875qo,52,Fam_strength,EN,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,1,Swore,PVA,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,2,Hurtful,PVA,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,3,Afraid,PVA,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,4,Leave,PVA,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,5,Closet,NVEA,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,6,Pushed,PPhysA,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,7,Hit,PPhysA,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,8,Hit_med,PPhysA,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,9,Spank_open,PPhysA,1.0,8.0
0lrvsj3hcaybws07zl60bqyv,10,Spanked_bare,PPhysA,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,11,Spanked_strap,PPhysA,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,12,Sex_comment,SexA,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,13,Fondled,SexA,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,14,Touch_them,SexA,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,15,Push_sib,WSV,,
0lrvsj3hcaybws07zl60bqyv,16,Hit_sib_med,WSV,,
0lrvsj3hcaybws07zl60bqyv,17,Sex_comment_sib,WSV,,
0lrvsj3hcaybws07zl60bqyv,18,Fondled_sib,WSV,,
0lrvsj3hcaybws07zl60bqyv,19,o_fondled,SexA,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,20,o_intercourse,SexA,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,21,Adults_push_m,WIPV,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,22,Adults_hit_m,WIPV,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,23,Adults_hit_med_m,WIPV,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,24,Adults_push_f,WIPV,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,25,Adults_hit_f,WIPV,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,26,peer_swore,PeerVA,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,27,Peer_hurtful,PeerVA,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,28,Peer_Rumors,PeerVA,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,29,Peer_Excluded,PeerVA,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,30,Peer_afraid,PeerVA,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,31,Peer_threat_money,PeerPhysA,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,32,Peer_forced,PeerPhysA,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,33,Peer_pushed,PeerPhysA,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,34,Peer_hit,PeerPhysA,0.0,0.0
