	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[66,1]	-0.47	0.0046	0.32	-1.0	-0.46	0.033	4757.0	10.0	1.0
theta[67,1]	-0.54	0.0049	0.33	-1.1	-0.53	-0.036	4457.0	9.8	1.0
theta[68,1]	-0.53	0.0044	0.34	-1.1	-0.51	0.004	6098.0	13.0	1.0
theta[69,1]	-0.61	0.0048	0.34	-1.2	-0.59	-0.062	5221.0	12.0	1.0
theta[70,1]	-0.049	0.0039	0.27	-0.5	-0.046	0.4	4890.0	11.0	1.0
theta[71,1]	-0.95	0.0059	0.39	-1.6	-0.93	-0.36	4330.0	9.6	1.0
theta[72,1]	-0.13	0.0039	0.29	-0.61	-0.12	0.32	5331.0	12.0	1.0
theta[73,1]	-0.22	0.004	0.29	-0.7	-0.21	0.24	5158.0	11.0	1.0
theta[74,1]	-1.0	0.0058	0.4	-1.7	-1.0	-0.42	4610.0	10.0	1.0
theta[75,1]	-1.8	0.0078	0.55	-2.7	-1.7	-0.91	4945.0	11.0	1.0
theta[76,1]	0.14	0.0036	0.27	-0.3	0.16	0.57	5505.0	12.0	1.0
theta[77,1]	0.82	0.0034	0.25	0.42	0.82	1.2	5361.0	12.0	1.0
theta[78,1]	-1.1	0.006	0.43	-1.9	-1.1	-0.48	5198.0	11.0	1.0
theta[79,1]	-0.99	0.0054	0.41	-1.7	-0.96	-0.37	5652.0	12.0	1.0
theta[80,1]	-0.49	0.0051	0.33	-1.1	-0.48	0.042	4117.0	9.1	1.0
theta[81,1]	2.1	0.0044	0.32	1.6	2.1	2.6	5163.0	11.0	1.0
theta[82,1]	-1.3	0.0069	0.45	-2.1	-1.2	-0.56	4301.0	9.5	1.0
theta[83,1]	-0.72	0.0046	0.35	-1.3	-0.7	-0.17	5933.0	13.0	1.0
theta[84,1]	0.59	0.0035	0.25	0.18	0.6	1.0	5079.0	11.0	1.0
theta[85,1]	0.21	0.0037	0.27	-0.24	0.21	0.63	5064.0	11.0	1.0
theta[86,1]	0.35	0.0034	0.25	-0.073	0.35	0.75	5588.0	12.0	1.0
theta[87,1]	-1.8	0.0082	0.55	-2.7	-1.7	-0.93	4548.0	10.0	1.0
theta[88,1]	0.057	0.0035	0.27	-0.39	0.064	0.49	5904.0	13.0	1.0
theta[89,1]	0.08	0.0039	0.27	-0.36	0.085	0.51	4821.0	11.0	1.0
theta[90,1]	0.015	0.0039	0.27	-0.44	0.022	0.46	4784.0	11.0	1.0
theta[91,1]	1.5	0.004	0.28	0.99	1.5	1.9	5036.0	11.0	1.0
