name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[7,620]	-0.556	0.00944	0.773	-1.89	-0.515	0.626	6701.0	0.72	0.999
theta[8,620]	0.289	0.00753	0.532	-0.51	0.249	1.22	5001.0	0.537	1.0
theta[9,620]	-0.284	0.011	0.849	-1.75	-0.24	1.02	5988.0	0.643	0.999
theta[10,620]	1.23	0.0102	0.592	0.182	1.27	2.14	3393.0	0.364	1.0
theta[11,620]	-0.0032	0.0122	1.02	-1.68	0.00607	1.65	7030.0	0.755	0.999
theta[1,621]	0.901	0.00407	0.28	0.441	0.893	1.36	4737.0	0.509	1.0
theta[2,621]	-0.357	0.0105	0.867	-1.84	-0.323	1.0	6797.0	0.73	1.0
theta[3,621]	0.834	0.0095	0.724	-0.286	0.803	2.06	5802.0	0.623	1.0
theta[4,621]	-0.318	0.0103	0.844	-1.78	-0.291	1.0	6718.0	0.721	0.999
theta[5,621]	-0.444	0.00657	0.529	-1.25	-0.474	0.474	6474.0	0.695	0.999
theta[6,621]	0.439	0.0106	0.832	-0.893	0.416	1.86	6108.0	0.656	1.0
theta[7,621]	-0.202	0.00891	0.621	-1.28	-0.169	0.743	4858.0	0.522	0.999
theta[8,621]	-0.0991	0.00706	0.571	-0.972	-0.133	0.905	6560.0	0.704	0.999
theta[9,621]	-0.279	0.0111	0.758	-1.6	-0.196	0.826	4705.0	0.505	0.999
theta[10,621]	-0.522	0.0107	0.777	-1.88	-0.464	0.651	5284.0	0.567	0.999
theta[11,621]	0.846	0.0221	0.927	-0.659	0.837	2.37	1754.0	0.188	1.0
theta[1,622]	1.32	0.00402	0.271	0.87	1.32	1.77	4536.0	0.487	1.0
theta[2,622]	-0.283	0.0102	0.827	-1.7	-0.25	1.01	6603.0	0.709	1.0
theta[3,622]	0.617	0.00972	0.755	-0.572	0.563	1.93	6041.0	0.649	1.0
theta[4,622]	-0.441	0.0105	0.854	-1.92	-0.399	0.894	6564.0	0.705	1.0
theta[5,622]	-1.6	0.00776	0.55	-2.56	-1.55	-0.777	5033.0	0.54	1.0
theta[6,622]	0.144	0.0108	0.851	-1.23	0.146	1.57	6263.0	0.673	0.999
theta[7,622]	0.805	0.00522	0.435	0.0723	0.806	1.51	6942.0	0.745	0.999
theta[8,622]	0.626	0.00927	0.744	-0.53	0.59	1.91	6433.0	0.691	0.999
theta[9,622]	-0.431	0.0107	0.756	-1.78	-0.381	0.684	4981.0	0.535	0.999
theta[10,622]	-0.671	0.00988	0.726	-1.96	-0.606	0.438	5398.0	0.58	1.0
theta[11,622]	0.2	0.0296	0.897	-1.3	0.207	1.67	920.0	0.0987	1.01
theta[1,623]	-0.916	0.00674	0.468	-1.72	-0.896	-0.193	4832.0	0.519	1.0
theta[2,623]	-0.0872	0.0115	0.946	-1.67	-0.0648	1.44	6807.0	0.731	1.0
theta[3,623]	0.828	0.0168	0.742	-0.437	0.87	1.98	1946.0	0.209	1.0
theta[4,623]	-0.084	0.0115	0.96	-1.71	-0.0704	1.47	6939.0	0.745	1.0
theta[5,623]	1.04	0.00961	0.616	0.0744	1.03	2.07	4112.0	0.441	1.0
theta[6,623]	-0.139	0.0111	0.906	-1.65	-0.117	1.31	6664.0	0.716	0.999
theta[7,623]	-0.146	0.00987	0.801	-1.53	-0.105	1.09	6600.0	0.709	1.0
theta[8,623]	-0.941	0.00942	0.672	-2.11	-0.882	0.0725	5093.0	0.547	1.0
theta[9,623]	-0.067	0.0112	0.902	-1.61	-0.0327	1.33	6534.0	0.702	0.999
theta[10,623]	-0.15	0.0116	0.959	-1.77	-0.148	1.39	6789.0	0.729	1.0
theta[11,623]	-0.0583	0.0112	0.959	-1.68	-0.0365	1.49	7335.0	0.788	1.0
theta[1,624]	0.277	0.00467	0.316	-0.255	0.278	0.791	4587.0	0.493	1.0
theta[2,624]	-0.342	0.0107	0.898	-1.84	-0.316	1.11	7034.0	0.755	0.999
theta[3,624]	-0.779	0.00987	0.751	-2.03	-0.74	0.414	5785.0	0.621	1.0
theta[4,624]	0.823	0.0121	0.779	-0.531	0.885	2.01	4132.0	0.444	1.0
theta[5,624]	0.0485	0.00682	0.547	-0.816	0.0236	0.974	6423.0	0.69	0.999
theta[6,624]	1.14	0.011	0.79	-0.126	1.11	2.47	5171.0	0.555	1.0
theta[7,624]	-0.479	0.01	0.754	-1.79	-0.438	0.661	5666.0	0.608	1.0
theta[8,624]	-0.701	0.00661	0.448	-1.44	-0.7	0.0165	4589.0	0.493	1.0
theta[9,624]	-0.239	0.0109	0.843	-1.74	-0.171	1.03	5978.0	0.642	1.0
theta[10,624]	-0.318	0.0109	0.868	-1.82	-0.289	1.05	6362.0	0.683	1.0
theta[11,624]	-0.0351	0.0115	1.0	-1.67	-0.0314	1.59	7602.0	0.816	0.999
theta[1,625]	-1.68	0.01	0.64	-2.8	-1.63	-0.71	4072.0	0.437	1.0
theta[2,625]	-0.0584	0.0116	0.974	-1.71	-0.032	1.54	7012.0	0.753	0.999
theta[3,625]	-0.231	0.0108	0.915	-1.79	-0.216	1.25	7172.0	0.77	0.999
theta[4,625]	-0.0515	0.012	0.969	-1.68	-0.0413	1.55	6575.0	0.706	0.999
theta[5,625]	-0.544	0.00998	0.752	-1.92	-0.481	0.554	5674.0	0.609	1.0
theta[6,625]	-0.0124	0.0108	0.975	-1.63	-0.006	1.59	8107.0	0.871	0.999
theta[7,625]	-0.1	0.0113	0.862	-1.62	-0.0426	1.2	5811.0	0.624	0.999
theta[8,625]	-0.718	0.00943	0.717	-1.96	-0.682	0.371	5785.0	0.621	1.0
theta[9,625]	-0.0524	0.0113	0.91	-1.59	-0.0138	1.43	6513.0	0.699	0.999
theta[10,625]	-0.0304	0.0114	0.981	-1.68	-0.026	1.59	7461.0	0.801	0.999
theta[11,625]	-0.054	0.0118	0.977	-1.67	-0.0547	1.58	6824.0	0.733	1.0
