k1,k2,stat,lb,ub,pval
31,12,-0.003522,-0.003025,0.004798,0.0165
31,13,-0.001435,-0.002516,0.003316,0.113
31,14,-0.000392,-0.006632,0.011768,0.31625
31,15,-0.000473,-0.003401,0.004444,0.31375
31,16,0.002769,-0.003235,0.004096,0.90025
31,17,0.000555,-0.002768,0.003546,0.59975
31,18,-0.002217,-0.005421,0.006811,0.1785
31,19,0.003398,-0.003608,0.004216,0.93675
31,20,-0.0049,-0.00545,0.006093,0.02975
31,21,0.001414,-0.003684,0.004123,0.728
31,22,0.000124,-0.003276,0.003537,0.5195
31,23,-0.000435,-0.00504,0.006137,0.348
31,24,-0.001758,-0.002932,0.003945,0.10925
31,25,-0.001871,-0.006298,0.006783,0.287
31,26,-0.000478,-0.006154,0.005689,0.47875
31,27,0.00584,-0.007719,0.007849,0.92575
31,28,0.000852,-0.009063,0.006781,0.647
31,29,0.013932,-0.007179,0.0082,0.9995
31,30,0.008197,-0.000382,0.011419,0.85025
32,0,0.000748,-0.00613,0.013125,0.3075
32,1,-0.000745,-0.007628,0.012731,0.225
32,2,0.001503,-0.006429,0.013539,0.331
32,3,-0.0007,-0.006455,0.010759,0.281
32,4,-0.000986,-0.004312,0.005117,0.28225
32,5,0.004863,-0.007307,0.013635,0.63675
32,6,-0.004075,-0.006772,0.0103,0.08925
32,7,-0.00227,-0.004287,0.004676,0.106
32,8,-0.001417,-0.008136,0.010994,0.303
32,9,0.005145,-0.010558,0.010286,0.82975
32,10,-0.000919,-0.00938,0.011338,0.3325
32,11,-0.000748,-0.004274,0.005581,0.30175
32,12,-0.001071,-0.00381,0.004834,0.24475
32,13,-0.000333,-0.002921,0.003393,0.38475
32,14,-0.002921,-0.009218,0.014655,0.20475
32,15,-0.002863,-0.00375,0.004452,0.0655
32,16,-0.00099,-0.003711,0.004092,0.25325
32,17,7e-06,-0.002934,0.003734,0.447
32,18,-0.002718,-0.007212,0.008462,0.201
32,19,-0.001344,-0.004474,0.004929,0.27325
32,20,-0.001309,-0.006957,0.007553,0.33725
32,21,0.000651,-0.005553,0.004604,0.6675
32,22,-0.001073,-0.00406,0.004072,0.34775
32,23,-0.000414,-0.006082,0.008211,0.372
32,24,-0.000989,-0.003381,0.004437,0.24075
32,25,0.008608,-0.012471,0.008378,0.97125
32,26,0.006888,-0.011944,0.006456,0.98125
32,27,-0.007182,-0.013719,0.009382,0.22075
32,28,-0.002684,-0.014646,0.008688,0.584
32,29,0.019404,-0.011981,0.009954,1.0
32,30,0.00172,0.003182,0.015516,0.00675
32,31,-0.000919,0.009444,0.026682,0.0
33,0,0.000268,-0.004828,0.007432,0.4145
33,1,-1.3e-05,-0.00548,0.00655,0.451
