	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[4,57]	0.024	0.013	0.68	-1.1	0.017	1.1	2689.0	1.3	1.0
theta[5,57]	0.25	0.012	0.63	-0.76	0.24	1.3	2948.0	1.4	1.0
theta[6,57]	0.24	0.015	0.91	-1.2	0.22	1.8	3906.0	1.9	1.0
theta[7,57]	1.1	0.0089	0.52	0.25	1.1	2.0	3471.0	1.6	1.0
theta[8,57]	-0.079	0.012	0.72	-1.2	-0.11	1.2	3345.0	1.6	1.0
theta[9,57]	-0.85	0.013	0.72	-2.1	-0.79	0.23	3009.0	1.4	1.0
theta[10,57]	0.55	0.011	0.59	-0.38	0.52	1.5	2737.0	1.3	1.0
theta[11,57]	-0.7	0.015	0.85	-2.1	-0.69	0.7	3071.0	1.5	1.0
theta[1,58]	-1.9	0.012	0.63	-2.9	-1.8	-0.89	2907.0	1.4	1.0
theta[2,58]	-0.12	0.017	0.99	-1.8	-0.11	1.5	3374.0	1.6	1.0
theta[3,58]	-0.16	0.017	0.93	-1.7	-0.12	1.3	3012.0	1.4	1.0
theta[4,58]	-0.093	0.017	1.0	-1.8	-0.086	1.6	3823.0	1.8	1.0
theta[5,58]	-0.65	0.013	0.75	-2.0	-0.59	0.47	3483.0	1.7	1.0
theta[6,58]	-0.068	0.015	0.91	-1.7	-0.038	1.4	3845.0	1.8	1.0
theta[7,58]	-0.017	0.015	0.87	-1.5	0.0081	1.4	3558.0	1.7	1.0
theta[8,58]	-0.74	0.013	0.74	-2.0	-0.69	0.39	3465.0	1.6	1.0
theta[9,58]	-0.057	0.016	0.91	-1.6	-0.022	1.4	3405.0	1.6	1.0
theta[10,58]	-0.036	0.016	0.97	-1.7	-0.017	1.5	3573.0	1.7	1.0
theta[11,58]	0.013	0.016	0.99	-1.7	0.023	1.6	3721.0	1.8	1.0
theta[1,59]	-0.54	0.0087	0.41	-1.2	-0.52	0.1	2164.0	1.0	1.0
theta[2,59]	-0.27	0.016	0.9	-1.8	-0.21	1.1	3197.0	1.5	1.0
theta[3,59]	-0.65	0.016	0.89	-2.2	-0.63	0.78	3147.0	1.5	1.0
theta[4,59]	-0.1	0.015	0.94	-1.7	-0.085	1.4	3761.0	1.8	1.0
theta[5,59]	-0.62	0.011	0.6	-1.7	-0.59	0.33	3182.0	1.5	1.0
theta[6,59]	-0.63	0.014	0.79	-2.0	-0.6	0.66	3128.0	1.5	1.0
theta[7,59]	-0.099	0.014	0.73	-1.4	-0.045	0.99	2716.0	1.3	1.0
