k1,k2,mu,lb,ub,pval
34,8,0.026127,-0.028983,0.079237,0.70725
34,9,-0.041569,-0.098484,0.026237,0.2225
34,10,0.02438,-0.032599,0.074732,0.6755
34,11,0.035243,-0.022132,0.086437,0.72475
34,12,-0.030618,-0.088553,0.025746,0.31425
34,13,-0.032494,-0.092576,0.031172,0.317
34,14,-0.072719,-0.149089,-0.001035,0.12925
34,15,0.008786,-0.066255,0.079159,0.57175
34,16,-0.007327,-0.070359,0.059554,0.48075
34,17,0.046694,-0.037193,0.139773,0.73275
34,18,-0.013241,-0.07249,0.049155,0.42525
34,19,0.010556,-0.061148,0.077032,0.5825
34,20,-0.011749,-0.090506,0.062975,0.436
34,21,-0.011271,-0.080323,0.054137,0.4425
34,22,0.027574,-0.042356,0.095251,0.6855
34,23,7.3e-05,-0.057531,0.066705,0.4985
34,24,-0.005457,-0.080272,0.064978,0.48275
34,25,-0.036725,-0.087301,0.00937,0.20675
34,26,-0.023137,-0.081242,0.033211,0.30725
34,27,0.036674,-0.011271,0.083081,0.7775
34,28,-0.001027,-0.052753,0.045364,0.4925
34,29,0.007358,-0.07384,0.085553,0.55675
34,30,-0.02095,-0.109447,0.070483,0.413
34,31,-0.000165,-0.069139,0.068486,0.497
34,32,-0.008507,-0.041244,0.027741,0.399
34,33,0.105429,0.013628,0.201354,0.90775
35,0,-0.011592,-0.078671,0.054464,0.41075
35,1,0.020009,-0.035824,0.080639,0.64325
35,2,-0.002999,-0.062244,0.053819,0.47475
35,3,0.029732,-0.031502,0.09367,0.70825
35,4,-0.016673,-0.083651,0.041829,0.39575
35,5,0.018773,-0.036587,0.077747,0.62775
35,6,-0.036879,-0.097456,0.031362,0.2595
35,7,0.022451,-0.047699,0.092651,0.6445
