name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[3,515]	-0.987	0.00816	0.624	-2.09	-0.935	-0.0497	5843.0	5.79	0.999
theta[1,516]	-1.22	0.00664	0.49	-2.07	-1.18	-0.456	5455.0	5.4	1.0
theta[2,516]	1.84	0.00689	0.512	1.01	1.84	2.7	5510.0	5.46	0.999
theta[3,516]	-0.156	0.0117	0.889	-1.69	-0.104	1.25	5796.0	5.74	1.0
theta[1,517]	1.27	0.00361	0.264	0.825	1.26	1.71	5359.0	5.31	1.0
theta[2,517]	-0.356	0.00601	0.492	-1.21	-0.342	0.414	6693.0	6.63	1.0
theta[3,517]	-0.27	0.00571	0.449	-1.02	-0.258	0.458	6187.0	6.13	1.0
theta[1,518]	-0.492	0.00551	0.369	-1.14	-0.47	0.0676	4475.0	4.43	0.999
theta[2,518]	-0.0267	0.00637	0.557	-0.946	-0.0239	0.871	7647.0	7.57	0.999
theta[3,518]	0.901	0.00777	0.536	-0.00326	0.931	1.75	4765.0	4.72	0.999
theta[1,519]	0.751	0.00366	0.262	0.313	0.754	1.18	5130.0	5.08	0.999
theta[2,519]	-0.786	0.0062	0.541	-1.7	-0.779	0.0813	7616.0	7.54	0.999
theta[3,519]	-0.945	0.009	0.662	-2.12	-0.881	0.0403	5414.0	5.36	1.0
theta[1,520]	0.517	0.00357	0.27	0.0595	0.516	0.952	5701.0	5.65	1.0
theta[2,520]	-0.601	0.0069	0.55	-1.55	-0.579	0.284	6351.0	6.29	1.0
theta[3,520]	-0.826	0.00957	0.712	-2.09	-0.753	0.235	5532.0	5.48	0.999
theta[1,521]	0.584	0.00353	0.247	0.177	0.58	0.996	4911.0	4.86	1.0
theta[2,521]	-0.427	0.00591	0.512	-1.3	-0.414	0.381	7508.0	7.44	0.999
theta[3,521]	0.0927	0.0059	0.46	-0.685	0.108	0.82	6076.0	6.02	1.0
theta[1,522]	-0.255	0.00494	0.333	-0.833	-0.241	0.269	4546.0	4.5	1.0
theta[2,522]	0.751	0.00687	0.499	-0.0765	0.758	1.58	5277.0	5.23	0.999
theta[3,522]	-0.431	0.0094	0.768	-1.77	-0.37	0.725	6670.0	6.61	0.999
theta[1,523]	0.674	0.00356	0.26	0.242	0.677	1.09	5353.0	5.3	1.0
theta[2,523]	-0.914	0.0066	0.563	-1.86	-0.903	-0.00722	7284.0	7.21	0.999
theta[3,523]	1.21	0.00597	0.473	0.451	1.19	2.02	6282.0	6.22	1.0
theta[1,524]	-1.42	0.00724	0.521	-2.34	-1.4	-0.609	5187.0	5.14	1.0
theta[2,524]	0.554	0.00771	0.578	-0.401	0.557	1.5	5625.0	5.57	0.999
theta[3,524]	-0.134	0.01	0.878	-1.65	-0.0916	1.26	7644.0	7.57	0.999
theta[1,525]	-0.338	0.00441	0.339	-0.918	-0.329	0.202	5907.0	5.85	1.0
theta[2,525]	-0.123	0.00642	0.565	-1.06	-0.105	0.8	7727.0	7.65	1.0
theta[3,525]	-0.426	0.00991	0.8	-1.81	-0.361	0.802	6524.0	6.46	1.0
theta[1,526]	1.55	0.00372	0.27	1.1	1.55	2.01	5269.0	5.22	1.0
theta[2,526]	1.96	0.0077	0.639	0.953	1.94	3.07	6883.0	6.82	0.999
theta[3,526]	0.431	0.00664	0.473	-0.328	0.42	1.23	5087.0	5.04	1.0
theta[1,527]	-1.25	0.00599	0.482	-2.09	-1.21	-0.507	6470.0	6.41	0.999
theta[2,527]	-0.992	0.00889	0.737	-2.26	-0.96	0.175	6870.0	6.8	1.0
theta[3,527]	-0.178	0.0101	0.888	-1.75	-0.138	1.22	7713.0	7.64	1.0
theta[1,528]	0.756	0.00378	0.26	0.329	0.757	1.18	4753.0	4.71	0.999
theta[2,528]	1.7	0.00648	0.541	0.831	1.68	2.62	6972.0	6.9	1.0
theta[3,528]	-0.943	0.00924	0.658	-2.12	-0.892	0.0408	5072.0	5.02	1.0
theta[1,529]	-0.447	0.00514	0.343	-1.04	-0.434	0.0998	4453.0	4.41	1.0
theta[2,529]	0.114	0.0069	0.569	-0.845	0.13	1.02	6796.0	6.73	0.999
theta[3,529]	1.37	0.00657	0.453	0.641	1.37	2.11	4752.0	4.71	0.999
theta[1,530]	1.38	0.00374	0.268	0.94	1.38	1.82	5148.0	5.1	1.0
theta[2,530]	0.685	0.00611	0.485	-0.0947	0.676	1.48	6294.0	6.23	1.0
theta[3,530]	0.363	0.00588	0.458	-0.385	0.359	1.13	6076.0	6.02	1.0
theta[1,531]	0.183	0.00381	0.278	-0.28	0.185	0.625	5343.0	5.29	1.0
theta[2,531]	-1.57	0.00796	0.664	-2.7	-1.55	-0.512	6954.0	6.89	0.999
theta[3,531]	1.2	0.00595	0.44	0.497	1.19	1.94	5458.0	5.41	1.0
theta[1,532]	-1.91	0.00798	0.649	-3.05	-1.88	-0.906	6631.0	6.57	1.0
theta[2,532]	-0.749	0.00988	0.806	-2.13	-0.732	0.545	6665.0	6.6	0.999
theta[3,532]	-0.106	0.00989	0.958	-1.71	-0.0713	1.4	9376.0	9.29	0.999
theta[1,533]	-0.0564	0.00439	0.3	-0.556	-0.0462	0.422	4688.0	4.64	1.0
theta[2,533]	1.09	0.00575	0.457	0.331	1.09	1.83	6316.0	6.25	1.0
theta[3,533]	-0.517	0.0101	0.751	-1.87	-0.447	0.614	5495.0	5.44	1.0
theta[1,534]	0.0666	0.00426	0.291	-0.422	0.0766	0.535	4680.0	4.63	1.0
theta[2,534]	-0.15	0.00663	0.529	-1.04	-0.133	0.7	6365.0	6.3	1.0
theta[3,534]	-0.572	0.00929	0.734	-1.88	-0.499	0.497	6238.0	6.18	1.0
theta[1,535]	-0.428	0.00483	0.365	-1.07	-0.409	0.146	5708.0	5.65	0.999
